"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"257";"Sorex_alpinus";0;0;0;0;0;0;0.333;0;0.333;0.333;"INSECTIVORA"
"258";"Acomys_nesiotes";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"259";"Allactaga_euphratica";0;0;0.333333333;0.333333333;0.333333333;0;0;0;0;0;"RODENTIA"
"260";"Allactaga_sp.";0;0;0.2;0.2;0.2;0;0.2;0.2;0;0;"RODENTIA"
"261";"Allactaga_tetradactyla";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"262";"Allactaga_toussi";0;0;0;0;0.5;0;0;0.5;0;0;"RODENTIA"
"263";"Allactaga_williamsi";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"264";"Allocricetus_bursae";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"265";"Alticola_sp.";0;0;0;0;0.25;0;0;0.25;0.25;0.25;"RODENTIA"
"266";"Apodemus_alpicola";0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;"RODENTIA"
"267";"Apodemus_epimelas";0;0;0;0;0.333333333;0;0.333333333;0;0.333333333;0;"RODENTIA"
"268";"Apodemus_hyrcanicus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"269";"Apodemus_sp.";0.111111111;0.111111111;0.111111111;0;0.111111111;0.111111111;0.111111111;0.111111111;0.111111111;0.111111111;"RODENTIA"
"270";"Apodemus_sylvaticus.flavicollis";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"271";"Apodemus_uralensis";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"272";"Arvicola_cantiana";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"273";"Arvicola_cantiana.mosbachensis";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"274";"Arvicola_cantiana.sapidus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"275";"Arvicola_cantiana.terrestris";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
